img,pan_prob,pan_action,mean_dist,yol_prob,yol_action
000756,0.425,8,0,1.0,9
000555,0.413,7,1.42956,0.552,7
001049,0.548,4,0,1.0,9
000600,0.418,7,8.75467,0.906,7
001752,0.743,3,28.89874,0.548,3
000896,0.986,3,21.64424,0.79,5
001107,0.571,4,0,1.0,9
000477,0.409,7,2.91305,0.912,7
000418,0.432,7,0.0,0.439,5
001066,0.584,4,0,1.0,9
000453,0.436,8,2.61431,0.99,7
001754,0.353,3,31.12339,0.675,3
000721,0.432,8,0,1.0,9
001683,0.44,8,15.65008,0.451,5
000681,0.424,7,0,1.0,9
000805,0.471,4,3.46771,0.656,5
001633,0.454,7,11.08434,0.857,7
000814,0.532,4,18.39043,0.611,5
001184,0.587,4,0,1.0,9
000799,0.428,8,0,1.0,9
000662,0.429,8,0,1.0,9
001732,0.806,3,24.02802,0.815,3
001093,0.606,4,0,1.0,9
001059,0.624,4,0,1.0,9
001756,0.428,7,24.14566,0.536,5
001719,0.988,3,21.17486,0.574,3
001690,0.424,8,0.0,0.994,5
001199,0.498,4,1.60702,0.734,5
000447,0.431,8,13.86785,0.982,7
000693,0.439,7,0.0,0.387,1
000786,0.438,7,0,1.0,9
000608,0.42,7,0,1.0,9
000585,0.385,7,0,1.0,9
000583,0.378,3,1.96691,0.984,7
001003,0.695,3,0,1.0,9
000528,0.433,8,4.53213,0.91,7
001137,0.61,4,0,1.0,9
000489,0.442,8,1.25319,0.995,7
000880,0.73,3,1.08335,0.699,5
001696,0.453,8,8.05706,0.758,5
001159,0.578,4,0,1.0,9
000518,0.433,7,9.71802,0.781,7
000612,0.406,4,0,1.0,9
001055,0.381,4,0,1.0,9
001750,0.42,7,11.50499,0.797,5
001674,0.617,3,28.19252,0.723,3
001148,0.554,4,0,1.0,9
000595,0.434,8,2.31707,0.944,7
001033,0.597,4,0,1.0,9
001056,0.619,4,0,1.0,9
001644,0.294,7,6.46495,0.952,7
001173,0.669,4,5.25316,0.652,3
001024,0.622,4,0,1.0,9
000826,0.895,3,15.6484,0.674,3
000663,0.429,8,0,1.0,9
000983,0.959,3,17.3656,0.983,3
001653,0.451,8,9.29737,0.591,7
001179,0.612,4,0.0,0.438,3
001102,0.521,4,0,1.0,9
001709,0.297,4,15.611,0.553,3
000991,0.579,3,19.33975,0.777,3
000558,0.418,7,7.89377,0.921,7
000437,0.427,8,3.13987,0.644,7
001034,0.572,4,0,1.0,9
001071,0.694,4,0,1.0,9
001109,0.619,4,0,1.0,9
001727,0.45,7,21.4319,0.426,3
001106,0.47,4,0,1.0,9
000891,0.626,4,7.555,0.971,3
000981,0.614,4,20.7049,0.543,5
001167,0.656,4,0,1.0,9
000777,0.429,7,5.50184,0.527,1
000615,0.444,8,2.78554,0.484,1
001194,0.658,4,0,1.0,9
001666,0.438,7,5.17442,0.742,7
000965,0.498,4,19.26757,0.85,3
001688,0.342,3,15.12233,0.604,3
000853,0.746,3,0.0,0.397,5
000920,0.565,4,26.837,0.867,3
001126,0.559,4,0,1.0,9
001144,0.593,4,0,1.0,9
000867,0.595,4,5.77519,0.984,5
001162,0.609,4,0,1.0,9
000705,0.448,8,0,1.0,9
000905,0.66,4,24.10015,0.582,3
000548,0.433,8,1.64976,0.555,7
000939,0.427,4,18.80162,0.497,5
001751,0.42,7,11.50499,0.797,5
001651,0.348,4,3.78456,0.714,7
001736,0.418,7,18.68295,0.726,5
000603,0.419,7,0,1.0,9
001195,0.647,4,0,1.0,9
001046,0.533,4,0,1.0,9
001080,0.611,4,0,1.0,9
001023,0.544,4,0,1.0,9
000470,0.43,8,10.11393,0.894,7
000972,0.607,4,17.99986,0.743,5
000666,0.444,8,0,1.0,9
001020,0.563,4,0,1.0,9
001168,0.556,4,0,1.0,9
001154,0.602,4,0,1.0,9
000844,0.782,3,0.0,0.45,5
000609,0.42,7,0,1.0,9
001147,0.583,4,0,1.0,9
001175,0.661,4,0,1.0,9
001070,0.508,4,0,1.0,9
000989,0.687,3,0.0,0.825,3
001711,0.432,7,13.75694,0.699,5
001060,0.561,4,0,1.0,9
000963,0.634,4,24.3426,0.569,5
000924,0.512,4,12.99058,0.59,5
000494,0.425,8,2.81049,0.941,7
001076,0.604,4,0,1.0,9
000554,0.413,7,1.42956,0.552,7
001171,0.491,3,0,1.0,9
000727,0.424,7,0,1.0,9
000838,0.96,3,14.74118,0.545,3
001127,0.693,4,0,1.0,9
000813,0.562,4,14.45069,0.649,5
001128,0.648,4,0,1.0,9
001193,0.622,4,0,1.0,9
001687,0.342,3,15.12233,0.604,3
000728,0.422,8,4.15262,0.513,1
000977,0.591,4,22.71631,0.966,3
000822,0.619,4,9.6385,0.984,5
000752,0.431,7,8.9465,0.48,3
001011,0.62,4,0,1.0,9
001005,0.618,4,0,1.0,9
001086,0.632,4,3.93102,0.84,1
000744,0.437,7,0,1.0,9
000715,0.434,7,0,1.0,9
001116,0.576,4,0.67082,0.418,3
001157,0.606,4,0,1.0,9
000874,0.992,3,0.0,0.409,5
000686,0.423,8,3.08569,0.522,1
001680,0.428,7,19.59658,0.747,5
000845,0.601,4,0.93417,0.423,5
001190,0.572,4,0,1.0,9
001138,0.52,4,0,1.0,9
000908,0.641,4,3.99639,0.846,3
001655,0.487,4,5.66242,0.761,7
000436,0.427,8,3.13987,0.644,7
000833,0.506,3,9.48175,0.992,5
000859,0.766,3,13.96577,0.483,5
000883,0.867,3,0.0,0.55,3
001125,0.607,4,0,1.0,9
000505,0.426,7,2.94114,0.926,7
000630,0.436,8,0,1.0,9
000584,0.385,7,0,1.0,9
001646,0.439,7,6.24306,0.496,7
001025,0.59,4,3.62802,0.752,1
000858,0.614,4,6.43078,0.891,5
000995,0.582,4,21.69342,0.524,3
001081,0.482,4,0,1.0,9
000643,0.438,8,0,1.0,9
001142,0.605,4,0,1.0,9
001698,0.575,3,17.63583,0.604,3
000765,0.435,7,0,1.0,9
001004,0.643,4,0,1.0,9
000478,0.367,4,0,1.0,9
000698,0.42,8,0.42028,0.425,3
001755,0.428,7,24.14566,0.536,5
000633,0.438,7,0,1.0,9
000987,0.646,4,12.44171,0.679,5
000638,0.45,8,0,1.0,9
001177,0.606,4,0,1.0,9
000517,0.421,7,13.06445,0.979,7
000577,0.435,7,5.96598,0.887,7
001716,0.417,8,25.70673,0.688,5
000644,0.425,8,2.85595,0.492,1
000448,0.398,3,0,1.0,9
000473,0.442,7,0,1.0,9
001741,0.437,8,17.54736,0.641,5
001746,0.438,8,8.62095,0.71,5
000692,0.439,7,0.0,0.387,1
001708,0.456,7,24.77959,0.438,3
000888,0.599,4,23.39079,0.999,5
001111,0.608,4,0,1.0,9
000782,0.421,7,0,1.0,9
000631,0.436,8,0,1.0,9
000892,0.793,3,5.39282,0.525,5
000879,0.631,4,11.64731,0.876,5
000911,0.68,4,25.37053,0.82,3
000865,0.617,3,23.6225,0.611,3
001707,0.456,7,24.77959,0.438,3
001092,0.611,4,0,1.0,9
001018,0.561,4,0,1.0,9
000800,0.923,3,16.7069,0.905,3
001088,0.651,4,0,1.0,9
000856,0.583,3,5.49913,0.498,5
001176,0.62,4,0,1.0,9
000429,0.405,7,14.07117,0.832,7
000780,0.42,7,0,1.0,9
001185,0.613,4,0,1.0,9
001702,0.771,3,16.92875,0.685,3
000852,0.633,4,0.0,0.431,5
000639,0.45,8,0,1.0,9
001069,0.545,4,0,1.0,9
001043,0.61,4,0,1.0,9
001008,0.417,4,0,1.0,9
000912,0.569,4,13.35084,0.407,5
001053,0.656,4,3.86846,0.4,1
000746,0.432,7,0.48379,0.447,3
001114,0.548,4,0,1.0,9
001745,0.438,8,8.62095,0.71,5
000589,0.443,7,0.7264,0.602,7
001132,0.617,4,0,1.0,9
001744,0.327,4,25.75958,0.8,3
001135,0.562,4,0,1.0,9
000950,0.716,3,24.03312,0.728,3
000540,0.398,7,9.35464,0.974,7
000549,0.433,8,1.64976,0.555,7
000740,0.436,7,2.06166,0.604,1
001753,0.743,3,28.89874,0.548,3
001652,0.451,8,9.29737,0.591,7
000935,0.635,4,0.0,0.545,3
001007,0.61,4,0,1.0,9
000459,0.441,8,2.77672,0.93,7
001031,0.651,4,0,1.0,9
000535,0.43,7,5.44871,0.915,7
001143,0.657,4,0,1.0,9
000971,0.522,4,9.66552,0.971,3
000927,0.599,4,14.54702,0.671,5
000762,0.423,8,0,1.0,9
000529,0.433,8,4.53213,0.91,7
000675,0.445,8,0,1.0,9
000614,0.444,8,2.78554,0.484,1
000490,0.352,7,0,1.0,9
001163,0.627,4,0,1.0,9
000894,0.58,4,4.88832,0.998,5
000625,0.444,8,0,1.0,9
000835,0.506,4,3.69607,0.676,5
000787,0.438,7,0,1.0,9
001660,0.422,7,5.23296,0.664,7
000877,0.98,3,35.85649,0.746,3
000974,0.581,4,24.28091,0.987,3
000443,0.436,7,16.37906,0.775,7
000454,0.434,8,0.65017,0.445,3
000776,0.429,7,5.50184,0.527,1
000673,0.43,8,0,1.0,9
000660,0.435,8,0,1.0,9
000897,0.681,4,10.08179,0.996,5
000915,0.581,4,28.80022,0.509,5
001105,0.576,4,0,1.0,9
000543,0.43,7,0.77344,0.459,3
001158,0.613,4,0,1.0,9
000997,0.492,4,0.0,0.97,3
001735,0.418,7,18.68295,0.726,5
001000,0.614,4,0,1.0,9
000933,0.706,4,10.74782,0.651,5
000525,0.427,7,9.077,0.503,7
001695,0.453,8,8.05706,0.758,5
001671,0.417,7,1.20844,0.553,7
000678,0.439,8,0,1.0,9
000699,0.42,8,0.42028,0.425,3
000578,0.439,8,1.74095,0.531,7
000889,0.668,3,28.32419,0.5,5
000642,0.438,8,0,1.0,9
000435,0.43,8,8.83535,0.928,7
000637,0.431,8,0,1.0,9
000878,0.582,4,11.38442,0.432,5
001101,0.594,4,3.11328,0.506,3
000793,0.437,7,0,1.0,9
000984,0.63,4,22.93457,0.792,5
000452,0.436,8,2.61431,0.99,7
001703,0.771,3,16.92875,0.685,3
000460,0.428,7,0,1.0,9
001130,0.629,4,0,1.0,9
001734,0.359,3,6.3604,0.661,5
000738,0.419,8,0,1.0,9
001014,0.549,4,0,1.0,9
001065,0.572,4,0,1.0,9
001729,0.405,7,39.19391,0.49,3
000672,0.43,8,0,1.0,9
000769,0.422,8,0,1.0,9
000636,0.431,8,0,1.0,9
001682,0.44,8,15.65008,0.451,5
000851,0.533,4,1.5,0.486,5
001681,0.428,7,19.59658,0.747,5
000868,0.514,3,4.60832,0.483,3
001153,0.842,3,0,1.0,9
000591,0.432,7,0.60087,0.451,7
001022,0.566,4,0,1.0,9
000476,0.409,7,2.91305,0.912,7
000669,0.462,4,2.24911,0.495,1
001715,0.417,8,25.70673,0.688,5
000909,0.649,4,0.0,0.649,5
000957,0.546,4,13.51258,0.738,5
000966,0.596,4,19.90332,0.583,5
000680,0.424,7,0,1.0,9
000441,0.419,7,10.80176,0.878,7
000802,0.689,3,0.0,0.517,3
001731,0.428,7,18.42294,0.673,5
000547,0.44,7,5.40632,0.956,7
000840,0.601,4,5.07017,0.993,5
001704,0.409,3,6.38292,0.553,3
001182,0.597,4,0,1.0,9
001747,0.426,7,8.77901,0.533,5
000975,0.616,4,12.01791,0.604,5
001028,0.535,4,0,1.0,9
000485,0.429,8,0.80943,0.438,3
000834,0.622,4,24.67759,0.574,5
000536,0.432,7,6.31715,0.602,7
001082,0.577,4,0,1.0,9
000472,0.442,7,0,1.0,9
000798,0.428,8,0,1.0,9
000918,0.575,4,9.72368,0.649,5
000697,0.435,4,0,1.0,9
000619,0.443,8,0,1.0,9
001040,0.617,4,0,1.0,9
000594,0.434,8,2.31707,0.944,7
000843,0.671,4,0.0,0.543,3
001187,0.53,4,0,1.0,9
000850,0.647,4,0.0,0.454,3
000839,0.556,4,28.26026,0.411,5
000855,0.526,3,11.03981,0.753,3
000648,0.435,8,0,1.0,9
001675,0.445,8,24.88622,0.754,5
000857,0.712,3,4.05123,0.851,5
001656,0.487,4,5.66242,0.761,7
001115,0.648,4,0,1.0,9
001728,0.45,7,21.4319,0.426,3
000684,0.43,8,0,1.0,9
000764,0.435,7,0,1.0,9
000626,0.426,8,0,1.0,9
000483,0.461,7,2.47052,0.767,7
000829,0.507,4,2.85,0.719,5
001145,0.648,4,0,1.0,9
000929,0.567,4,25.75333,0.662,3
000962,0.606,4,23.31499,0.946,3
001196,0.597,4,0,1.0,9
000624,0.444,8,0,1.0,9
000482,0.461,7,2.47052,0.767,7
000862,0.991,3,1.3,0.481,5
000553,0.436,7,18.61332,0.847,7
001073,0.516,4,0,1.0,9
001083,0.647,4,0,1.0,9
000849,0.573,4,3.06635,0.566,5
001057,0.59,4,0,1.0,9
000679,0.439,8,0,1.0,9
001720,0.429,8,7.28236,0.595,5
000781,0.42,7,0,1.0,9
000495,0.425,8,2.81049,0.941,7
000537,0.432,7,6.31715,0.602,7
000657,0.321,4,0,1.0,9
000709,0.447,8,0,1.0,9
001038,0.62,4,0,1.0,9
000930,0.562,4,14.95432,0.584,5
001641,0.484,3,7.54981,0.725,7
001181,0.525,4,0,1.0,9
000524,0.427,7,9.077,0.503,7
001035,0.647,4,0,1.0,9
001041,0.586,4,0,1.0,9
001140,0.659,4,0,1.0,9
000561,0.421,7,1.52744,0.502,3
001075,0.476,4,0,1.0,9
000632,0.438,7,0,1.0,9
001694,0.598,3,24.09554,0.381,3
000428,0.405,7,14.07117,0.832,7
001113,0.597,4,36.98205,0.572,3
000516,0.421,7,13.06445,0.979,7
001044,0.61,4,0,1.0,9
000656,0.321,4,0,1.0,9
001637,0.44,8,3.20335,0.542,7
001133,0.585,4,0,1.0,9
001087,0.538,4,0,1.0,9
001670,0.417,7,1.20844,0.553,7
001134,0.606,4,0,1.0,9
001722,0.557,3,0.0,0.45,5
001691,0.424,8,0.0,0.994,5
000606,0.431,8,0,1.0,9
000416,0.427,8,0,1.0,9
000768,0.422,8,0,1.0,9
000570,0.435,8,3.27425,0.941,7
000948,0.631,4,20.10104,0.655,5
001635,0.432,7,9.38047,0.796,7
001012,0.552,3,0,1.0,9
000953,0.624,4,11.69408,0.753,3
001739,0.681,3,32.55425,0.497,3
001077,0.652,4,0,1.0,9
001654,0.419,4,3.76253,0.973,7
000932,0.563,4,0.0,0.503,5
000996,0.48,4,12.90682,0.619,5
000792,0.437,7,0,1.0,9
001098,0.612,4,0,1.0,9
000893,0.505,4,26.0805,0.45,5
000618,0.443,8,0,1.0,9
000926,0.819,3,24.87221,0.778,3
000745,0.437,7,0,1.0,9
000978,0.652,4,27.24353,0.826,5
001170,0.611,4,0,1.0,9
